OCUPACIONES,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SETIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,Column1
DIRECTOR DE DEPARTAMENTO INFORMATICA,163,163,168,173,175,171,174,175,174,166,176,175,1.0
ADMINISTRADOR BANCO DE DATOS,463,453,447,444,451,442,452,443,440,427,435,423,1.0
ANALISTA SISTEMAS INFORMATICOS,9459,9527,9553,9619,9590,9534,9578,9523,9550,9416,9656,9659,1.0
ANALISTA SISTEMAS INFORMATICOS/BANCO DE DATOS,853,826,820,810,808,792,805,802,798,782,793,785,1.0
ANALISTA SISTEMAS INFORMATICOS/COMPUTADORAS,1728,1745,1756,1780,1795,1774,1789,1791,1802,1750,1769,1765,1.0
ANALISTA SISTEMAS INFORMATICOS/TELECOMUNICACIONES,601,617,620,618,633,626,634,647,642,632,645,638,1.0
ANALISTAS TRANSMISIONES/SISTEMAS INFORMATICOS,243,246,252,257,258,260,257,249,250,256,251,242,1.0
INGENIERO SISTEMAS INFORMATICOS,6836,6880,6928,6996,7044,7043,7170,7300,7400,7314,7324,7312,1.0
INGENIERO APLICACIONES DE LA INFORMATICA,361,357,361,364,366,360,352,288,288,289,296,298,1.0
INGENIERO DE ORDENADORES ELECTRONICOS,38,41,40,37,38,38,38,37,39,39,39,38,1.0
INGENIERO SISTEMAS/EXCEPTO INFORMATICOS,285,281,291,288,299,292,292,290,291,287,282,280,1.0
CREADOR SISTEMAS/EXCEPTO INFORMATICOS,25,22,22,24,25,25,25,26,25,25,27,29,1.0
PROFESOR EDUCACION SUPERIOR/INFORMATICA,83,93,114,123,121,122,124,123,128,127,128,122,1.0
TECNICO SISTEMAS/EXCEPTO INFORMATICOS,1361,1346,1335,1311,1330,1335,1338,1362,1386,1378,1301,1294,1.0
PROGRAMADOR CODIFICADOR DE LOS PROGRAMAS,218,213,214,209,212,211,217,221,237,251,260,260,1.0
PROGRAMADOR DESARROLLO DE LA LOGICA DEL PROCESO,284,275,267,254,255,257,254,259,267,260,259,259,1.0
PROGRAMADOR INFORMATICA/POR COMPUTADORA,1286,1299,1289,1349,1360,1378,1414,1431,1439,1381,1466,1466,1.0
PROGRAMADOR INFORMATICA/ANALISIS DE BASE DE DATOS,616,627,629,629,634,640,682,694,711,700,706,699,1.0
PROGRAMADOR INFORMATICA/ANALISIS DE SISTEMAS,2267,2266,2279,2284,2326,2342,2377,2406,2400,2379,2365,2362,1.0
PROGRAMADOR PRUEBA Y EJECUCION DEL PROGRAMA EN COMPUTADORA,142,134,131,133,129,129,128,128,126,133,133,138,1.0
TECNICO ANALISIS INFORMATICO,915,929,936,953,979,978,991,1012,1023,1031,1052,1048,1.0
TECNICO PROGRAMACION POR COMPUTADORAS,1315,1327,1330,1309,1328,1326,1335,1322,1327,1312,1323,1299,1.0
TECNICO SERVICIOS INFORMATICOS PARA USUARIOS,1996,2016,2009,2016,2000,1982,1976,1967,1991,1964,1948,1926,1.0
OPERADOR EQUIPOS INFORMATICOS/COMPUTADORAS,1885,1970,2106,2151,2186,2146,2142,2158,2145,2113,2182,2162,1.0
OPERADOR EQUIPOS INFORMATICOS/UNIDADES PERIFERICAS (IMPRES,179,176,172,165,154,154,153,159,156,150,156,150,1.0
OPERADOR ALMACENAMIENTO DE DATOS,1049,1013,1010,1062,1062,1079,1079,1103,1141,1110,1167,1271,1.0
TECNICO CONTROL DE EQUIPOS INFORMATICOS,1029,1037,1052,1067,1071,1071,1071,1074,1072,1056,1043,1035,1.0
TIPEO POR COMPUTADORA,84,86,89,89,91,88,93,89,88,91,95,96,1.0
OPERADOR COMPUTADORA,384,432,433,441,447,446,453,457,461,450,439,449,1.0
MONTADOR DE CLISES SOBRE SOPORTE,14,18,18,21,23,24,24,26,25,24,24,21,1.0
